review_id,store_item_id,store_name,user_id,taste_match_rate,is_similar_user,satisfaction,has_text,review_text,has_photo,photo_count,receipt_verified,visit_day_type,visit_time,reported_wait_min,tone_type,mentioned_keywords
bangkok_review_0001,bangkok_roti_01,로띠스팟 성수,바나나로띠러버,64,FALSE,만족,TRUE,달콤한 튀김 디저트 땡길 때 딱. 시나몬 향도 은은해서 부담 없었음.,TRUE,3,TRUE,주말,점심,40,반말 후기형,시나몬; 단맛
bangkok_review_0002,bangkok_roti_01,로띠스팟 성수,튀김소리수집가,55,FALSE,만족,TRUE,이름만 듣고 궁금했는데 실제로 먹어보니 이해됨. 바삭한 로띠를 디저트화한 느낌.,TRUE,1,TRUE,주말,아침,45,불만 토로형,바삭함
bangkok_review_0003,bangkok_roti_01,로띠스팟 성수,성수간식러,75,TRUE,만족,TRUE,갓 튀긴 로띠튀김은 인정. 식감이 살아있어서 웨이팅에 대한 분노가 조금 사라짐 ㅎㅎ,FALSE,0,TRUE,주말,점심,45,불만 토로형+표현강함,웨이팅
bangkok_review_0004,bangkok_roti_01,로띠스팟 성수,연유는못참지,82,TRUE,만족,TRUE,튀김옷이 생각보다 얇고 바삭했다. 바나나가 물컹하게만 느껴질까 봐 걱정했는데 카라멜이랑 잘 어울림.,TRUE,1,TRUE,평일,아침,60,음슴체,바삭함; 바나나; 카라멜
bangkok_review_0005,bangkok_roti_01,로띠스팟 성수,겉바속촉파,66,FALSE,만족,TRUE,친구가 여행 다녀온 맛 난다고 좋아함. 나는 그냥 달고 바삭해서 좋았다.,TRUE,2,TRUE,주말,점심,55,불만 토로형,바삭함; 단맛; 원조 느낌
bangkok_review_0006,bangkok_roti_01,로띠스팟 성수,웨이팅싫어,40,FALSE,만족,TRUE,연유 드리즐이 많아서 달긴 한데 그게 또 로띠 느낌이라 좋았다. 방콕 여행 생각남ㅠㅠ,TRUE,2,TRUE,주말,아침,40,불만 토로형+표현강함,연유; 단맛; 소스; 원조 느낌
bangkok_review_0007,bangkok_roti_01,로띠스팟 성수,방콕그리움,44,FALSE,만족,TRUE,바삭한 튀김옷 안에 부드러운 바나나 필링이 들어 있어서 식감 대비가 좋음.,TRUE,1,TRUE,주말,오후,40,반말 후기형,바삭함; 바나나
bangkok_review_0008,bangkok_roti_01,로띠스팟 성수,맛있으면우는개구리,59,FALSE,만족,TRUE,로띠 좋아하는 사람은 한번 먹어볼 만함. 연유 소스가 많아서 여행지 야식 느낌 난다.,TRUE,2,TRUE,주말,오전,55,장문 후기형,연유; 소스; 원조 느낌
bangkok_review_0009,bangkok_roti_01,로띠스팟 성수,반갈샷중독,54,FALSE,만족,TRUE,비주얼 때문에 갔는데 맛도 평균 이상. 성수에서 유행템 체험하고 싶으면 여기가 제일 무난해 보임.,TRUE,2,FALSE,주말,아침,60,조건부 추천형,비주얼; 무난함
bangkok_review_0010,bangkok_roti_01,로띠스팟 성수,바삭하면합격,65,FALSE,만족,TRUE,성수 유행템으로 보기엔 설득력 있음. 맛도 쉽고 비주얼도 좋음.,TRUE,1,TRUE,주말,오전,60,존댓말 정보형,비주얼
bangkok_review_0011,bangkok_roti_01,로띠스팟 성수,버터향찾는중,76,TRUE,만족,FALSE,,FALSE,0,TRUE,평일,오전,55,텍스트 없음,
bangkok_review_0012,bangkok_roti_01,로띠스팟 성수,먹짱고라니,38,FALSE,불만족,TRUE,시나몬 향이 은근 강해서 나는 별로였음. 바나나랑 연유 맛만 기대했는데 향이 튐.,FALSE,0,FALSE,평일,오후,60,불만 장문형,바나나; 연유; 시나몬
bangkok_review_0013,bangkok_roti_01,로띠스팟 성수,후식배따로,77,TRUE,만족,TRUE,로띠 원본보다 먹기 편함. 손에 들고 먹기 좋고 안쪽 필링도 새지 않아서 좋았다.,TRUE,2,FALSE,평일,아침,60,밈 섞인 리뷰형,
bangkok_review_0014,bangkok_roti_01,로띠스팟 성수,로띠처돌이,94,TRUE,만족,TRUE,겉바속촉이라는 말이 딱 맞음. 튀김옷이 바삭하게 부서지고 안쪽은 달콤하게 촉촉함.,TRUE,2,FALSE,평일,오전,55,장문 후기형,바삭함; 단맛
bangkok_review_0015,bangkok_roti_01,로띠스팟 성수,달달구리수집,89,TRUE,만족,TRUE,성수에서 줄 서는 메뉴들 중엔 꽤 성공한 편. 먹는 순간 왜 떴는지 이해됨.,TRUE,1,TRUE,주말,점심,60,존댓말 정보형,웨이팅
bangkok_review_0016,bangkok_roti_01,로띠스팟 성수,간식연구원,94,TRUE,만족,TRUE,웨이팅만 아니면 또 갈 듯. 맛 자체는 직관적으로 맛있는 단짠달달 튀김 디저트.,TRUE,1,TRUE,평일,아침,55,짧은 현실형,웨이팅; 단맛
bangkok_review_0017,bangkok_roti_01,로띠스팟 성수,맛있으면우는개구리,49,FALSE,만족,TRUE,기다린 보람은 있었음. 특히 갓 튀긴 상태라 튀김 소리랑 식감이 좋았다. 식으면 어떨지는 모르겠음.,FALSE,0,TRUE,평일,점심,50,조건부 추천형,바삭함; 눅눅함
bangkok_review_0018,bangkok_roti_01,로띠스팟 성수,성수출근러,91,TRUE,만족,TRUE,맛있는데 강함. 피곤한 날 당충전용으로 먹으면 행복할 맛이다.,TRUE,1,TRUE,평일,저녁,45,밈 섞인 리뷰형,
bangkok_review_0019,bangkok_roti_01,로띠스팟 성수,디저트취향확고,73,TRUE,불만족,TRUE,포장해서 먹었더니 눅눅해져서 별로였다. 바로 먹어야 하는 메뉴인 듯.,TRUE,2,TRUE,주말,점심,40,조건부 추천형,눅눅함
bangkok_review_0020,bangkok_roti_01,로띠스팟 성수,기름지면탈락,36,FALSE,만족,TRUE,웨이팅 45분 보고 살짝 현타 왔는데 갓 나온 거 먹으니까 좀 풀림ㅋㅋ 겉이 바삭하고 속이 달콤해서 여행지 간식 느낌 제대로.,TRUE,2,TRUE,주말,아침,50,장문 후기형+표현강함,바삭함; 웨이팅; 단맛; 원조 느낌
