review_id,store_item_id,store_name,user_id,taste_match_rate,is_similar_user,satisfaction,has_text,review_text,has_photo,photo_count,receipt_verified,visit_day_type,visit_time,reported_wait_min,tone_type,mentioned_keywords
crotaco_review_0001,la_crotaco_01,타코무드 성수,크로타코입문,75,TRUE,불만족,TRUE,너무 짜고 소스가 많았음. 먹고 나서 입이 좀 피곤했다ㅠ,FALSE,0,TRUE,주말,오후,45,기대 대비 아쉬움형+표현강함,소스; 짭짤함
crotaco_review_0002,la_crotaco_01,타코무드 성수,타코좋아,35,FALSE,만족,TRUE,타코 시즈닝이 강해서 좋았음. 순한 맛 기대하면 자극적일 수 있어요.,TRUE,1,TRUE,주말,아침,50,반말 후기형,타코미트; 원조 느낌
crotaco_review_0003,la_crotaco_01,타코무드 성수,성수런치러,55,FALSE,만족,TRUE,먹고 나서 손은 조금 지저분해지지만 그만큼 재밌는 메뉴.,TRUE,4,TRUE,평일,오전,45,담담 평가형,
crotaco_review_0004,la_crotaco_01,타코무드 성수,치즈늘어남중독,85,TRUE,만족,TRUE,크로와상 버터향이 타코 필링이랑 생각보다 잘 붙는다. 신박한데 맛도 있음.,TRUE,2,FALSE,주말,오전,55,반말 후기형,크로와상; 원조 느낌
crotaco_review_0005,la_crotaco_01,타코무드 성수,크루아상결파,44,FALSE,만족,TRUE,타코무드 인기 많은 이유 이해됨. 메뉴 자체가 신기하고 맛도 대중적으로 먹히는 맛.,TRUE,1,TRUE,주말,점심,55,음슴체,원조 느낌
crotaco_review_0006,la_crotaco_01,타코무드 성수,짭짤한거좋아,58,FALSE,만족,TRUE,맛이 세서 호불호는 있겠지만 나는 극호. 짭짤한 거 좋아하면 가세요.,TRUE,2,TRUE,주말,오전,60,장문 후기형,짭짤함
crotaco_review_0007,la_crotaco_01,타코무드 성수,살사없인못살아,53,FALSE,만족,TRUE,맛이 완전 직관적임. 바삭한 크로와상에 타코 고기랑 치즈 넣었는데 맛없기 어렵지ㅋㅋ 다만 꽤 자극적이긴 함.,TRUE,2,FALSE,주말,아침,50,조건부 추천형+표현강함,바삭함; 치즈; 타코미트; 크로와상; 원조 느낌
crotaco_review_0008,la_crotaco_01,타코무드 성수,고수가능,66,FALSE,만족,TRUE,"고기, 치즈, 살사 다 들어가서 맛이 풍성함. 한입마다 재료가 느껴짐.",TRUE,1,TRUE,평일,오후,60,존댓말 정보형,치즈; 타코미트; 살사
crotaco_review_0009,la_crotaco_01,타코무드 성수,고수못먹음,61,FALSE,만족,TRUE,타코 좋아하는 친구가 꽤 만족함. 정통은 아니지만 퓨전으로 잘 풀었다.,TRUE,4,TRUE,평일,오전,60,반말 후기형,원조 느낌
crotaco_review_0010,la_crotaco_01,타코무드 성수,맛있으면우는개구리,47,FALSE,만족,TRUE,"첫입 임팩트가 강함. 바삭, 짭짤, 매콤, 치즈 다 한 번에 옴 😋",TRUE,1,TRUE,주말,오후,45,흥분 극찬형+표현강함,바삭함; 치즈; 매콤함; 짭짤함
crotaco_review_0011,la_crotaco_01,타코무드 성수,소스많이파,50,FALSE,만족,TRUE,바삭한 거 좋아하면 만족할 듯. 크로와상 겉이 파삭하고 안쪽은 촉촉함.,TRUE,4,TRUE,평일,오전,60,조건부 추천형,바삭함; 크로와상
crotaco_review_0012,la_crotaco_01,타코무드 성수,타코무드줄섬,36,FALSE,만족,TRUE,주말이라 사람 많았지만 회전은 생각보다 괜찮았다. 맛은 확실히 유행할 만함.,TRUE,1,TRUE,주말,점심,60,존댓말 정보형,
crotaco_review_0013,la_crotaco_01,타코무드 성수,연무장걷는중,82,TRUE,만족,FALSE,,TRUE,2,TRUE,평일,아침,60,텍스트 없음,
crotaco_review_0014,la_crotaco_01,타코무드 성수,칠리브라운저장,78,TRUE,만족,TRUE,나는 단 음식보다 이런 짭짤한 유행템이 더 좋음. 완전 만족.,FALSE,0,TRUE,평일,점심,55,조건부 추천형,짭짤함
crotaco_review_0015,la_crotaco_01,타코무드 성수,엘파소궁금,68,FALSE,만족,TRUE,치즈가 많아서 행복했다. 느끼할 뻔하면 살사가 잡아줌.,TRUE,1,TRUE,평일,저녁,50,밈 섞인 리뷰형,치즈; 살사
crotaco_review_0016,la_crotaco_01,타코무드 성수,네온그릴저장,38,FALSE,만족,TRUE,크로와상 결이 소스에 젖기 전에 바로 먹어야 함. 갓 나왔을 때는 진짜 맛있다.,TRUE,2,TRUE,주말,점심,45,밈 섞인 리뷰형,바삭함; 소스; 눅눅함; 짭짤함; 크로와상
crotaco_review_0017,la_crotaco_01,타코무드 성수,데일리빈들름,35,FALSE,만족,FALSE,,TRUE,2,TRUE,주말,아침,55,텍스트 없음,
crotaco_review_0018,la_crotaco_01,타코무드 성수,먹짱고라니,73,TRUE,만족,TRUE,성수에서 가볍게 먹기엔 가격대가 있지만 메뉴가 특이해서 한번쯤 추천.,TRUE,2,TRUE,평일,오전,55,반말 후기형,가격
crotaco_review_0019,la_crotaco_01,타코무드 성수,맛있으면우는개구리,61,FALSE,만족,TRUE,처음엔 그냥 장난스러운 퓨전음식인 줄 알았는데 꽤 잘 만들었다.,TRUE,2,TRUE,주말,저녁,45,불만 토로형,웨이팅
crotaco_review_0020,la_crotaco_01,타코무드 성수,아아말고콜라,39,FALSE,만족,TRUE,웨이팅만 줄면 재방문 의사 있음. 맛은 진짜 괜찮음.,TRUE,4,TRUE,평일,오전,60,장문 후기형,웨이팅; 짭짤함
crotaco_review_0021,la_crotaco_01,타코무드 성수,디저트말고밥,85,TRUE,불만족,TRUE,맛은 있는데 45분 기다릴 맛인지는 모르겠음. 치즈샷은 예쁜데 전체적으로 너무 자극적이었다.,FALSE,0,TRUE,평일,점심,35,음슴체,치즈
crotaco_review_0022,la_crotaco_01,타코무드 성수,브런치유목민,37,FALSE,만족,TRUE,사워크림이 있어서 맛이 너무 한쪽으로 안 감. 전체적으로 균형 괜찮다.,TRUE,2,TRUE,주말,오후,45,음슴체,소스
crotaco_review_0023,la_crotaco_01,타코무드 성수,성수점심추천,64,FALSE,만족,TRUE,짭짤하고 매콤하고 치즈가 진해서 점심으로도 가능. 디저트 앱에 음식 메뉴 뜬 느낌인데 오히려 좋음.,FALSE,0,TRUE,주말,오후,50,짧은 현실형,치즈; 매콤함; 짭짤함
crotaco_review_0024,la_crotaco_01,타코무드 성수,매콤한입,62,FALSE,만족,FALSE,,TRUE,4,TRUE,주말,저녁,55,텍스트 없음,
crotaco_review_0025,la_crotaco_01,타코무드 성수,치즈는정의,59,FALSE,만족,TRUE,살사 산미가 있어서 느끼함을 잡아줌. 크로와상만 있었으면 물렸을 텐데 밸런스 괜찮다.,TRUE,1,TRUE,평일,오후,40,장문 후기형,살사; 크로와상
crotaco_review_0026,la_crotaco_01,타코무드 성수,반갈샷중독,88,TRUE,만족,TRUE,먹자마자 ‘이거 성수에서 뜨겠다’ 싶었음. 설명하기 쉬운 신기한 맛.,TRUE,4,TRUE,평일,오전,40,조건부 추천형,
crotaco_review_0027,la_crotaco_01,타코무드 성수,릴스보고옴,56,FALSE,만족,TRUE,반갈샷 찍고 먹으면 기분 좋음. 치즈가 쭉 늘어나서 괜히 영상 찍게 됨.,TRUE,4,TRUE,평일,아침,50,불만 토로형,치즈; 비주얼
crotaco_review_0028,la_crotaco_01,타코무드 성수,사진부터찍음,90,TRUE,만족,FALSE,,TRUE,2,TRUE,평일,오전,60,텍스트 없음,
crotaco_review_0029,la_crotaco_01,타코무드 성수,맛보다식감,86,TRUE,만족,FALSE,,TRUE,1,TRUE,주말,오후,40,텍스트 없음,
crotaco_review_0030,la_crotaco_01,타코무드 성수,먹어보고말함,64,FALSE,만족,TRUE,이런 메뉴는 보통 비주얼만 강한데 여긴 고기맛도 살아있어서 좋았다.,TRUE,4,FALSE,주말,저녁,55,반말 후기형,타코미트; 비주얼
crotaco_review_0031,la_crotaco_01,타코무드 성수,내돈내산러,37,FALSE,만족,TRUE,크로와상 속 타코라니 이상한데 맛있음. 이 말밖에 안 나옴.,TRUE,1,TRUE,평일,오후,45,존댓말 정보형,크로와상; 원조 느낌
